# Z, U , V, u2, v2, w2 
0.0,0.7,-0.016375425870974847,0.00807983903420523,2.602601556334766e-05,0.011931922054179827
0.005025125628140704,0.7692793124286659,-0.020024841207907894,0.00802621571352887,2.602601556334766e-05,0.011923791632036175
0.010050251256281407,0.8550992165469576,-0.02367425654484094,0.0066162812582989524,3.15091893458756e-05,0.009031025190051886
0.01507537688442211,0.9409191206652494,-0.027323671881773988,0.005402568193192435,2.9444903836274892e-05,0.0066974630166441625
0.020100502512562814,0.9985988988666017,-0.030973087218707035,0.004531421883422952,5.5483435138179047e-05,0.004971969257659028
0.02512562814070352,1.0537056105861191,-0.03462250255564008,0.0037698379955500762,8.875995336231796e-05,0.0036167791675265556
0.03015075376884422,1.0893668411420823,-0.038560852506045136,0.0031004545454239424,0.00013242991672083026,0.0027592289389459924
0.035175879396984924,1.1122464913826755,-0.042534006300286746,0.0025520965704323106,0.00016991617491164378,0.0021236194414563266
0.04020100502512563,1.1351261416232685,-0.04650716009452836,0.002111788499903883,0.0001928825354936027,0.0016590809518108162
0.04522613065326633,1.1580057918638618,-0.05048031388876997,0.001742367784491475,0.00021093403963427635,0.0013136875466446807
0.05025125628140704,1.1581427868890901,-0.05445346768301158,0.0015070918964565153,0.00022638011376299993,0.0010688895669312022
0.05527638190954774,1.1541092090381495,-0.05842662147725319,0.0013133111843819734,0.00024126400991411444,0.0008504761156189799
0.06030150753768844,1.150075631187209,-0.0623997752714948,0.0011536753913372305,0.0002498644140992448,0.0006629188696849422
0.06532663316582915,1.1460420533362685,-0.06637292906573641,0.0009999629445299678,0.0002584648182843752,0.0005070614803459916
0.07035175879396985,1.142008475485328,-0.07034608285997804,0.000929973020933434,0.00026706522246950547,0.0003695995896085914
0.07537688442211056,1.1379748976343873,-0.07097035397290379,0.0008599830973369001,0.00027230946817930266,0.0003134707898402252
0.08040201005025126,1.1339413197834467,-0.07134358963236286,0.0007899931737403663,0.0002774853107962469,0.00026002158638796594
0.08542713567839195,1.1299077419325063,-0.07171682529182193,0.0007405845491884778,0.00028266115341319114,0.00024924454187655467
0.09045226130653267,1.1258741640815657,-0.07209006095128098,0.0007002290706390835,0.0002878369960301354,0.0002485418413807005
0.09547738693467336,1.121840586230625,-0.07246329661074005,0.0006598735920896894,0.00029301283864707967,0.00024783262366883426
0.10050251256281408,1.1178070083796847,-0.07283653227019912,0.0006195181135402951,0.0002975349218651058,0.00023254472241810602
0.10552763819095477,1.1143399604965911,-0.07320976792965818,0.0005933489764340026,0.0003018833349934381,0.00021725682116737778
0.11055276381909548,1.1113003370922128,-0.07358300358911725,0.0005702627298745189,0.0003062317481217704,0.00020196891991664954
0.11557788944723618,1.1082607136878346,-0.07395623924857632,0.0005471764833150353,0.0003105801612501027,0.00018649778457396264
0.12060301507537688,1.1052210902834565,-0.07405762217302349,0.0005240902367555517,0.000314928574378435,0.00016984677889762085
0.12562814070351758,1.1021814668790781,-0.0737334964687564,0.0005010039901960681,0.0003192769875067673,0.00015319577322127906
0.1306532663316583,1.0991418434747,-0.07340937076448932,0.0004779177436365844,0.00032091827941827693,0.00013654476754493717
0.135678391959799,1.0961022200703219,-0.07308524506022224,0.00045736267394581767,0.0003210147285935496,0.00013712221952071247
0.1407035175879397,1.0930625966659435,-0.07276111935595515,0.00045791221674967674,0.0003211111777688223,0.00014843597826814302
0.1457286432160804,1.0900229732615654,-0.07243699365168807,0.0004584617595535358,0.00032120762694409495,0.00015974973701557356
0.15075376884422112,1.0869833498571873,-0.07211286794742099,0.0004590113023573949,0.0003213040761193676,0.0001710634957630042
0.15577889447236182,1.083943726452809,-0.0717887422431539,0.000459560845161254,0.0003214005252946403,0.00018237725451043473
0.16080402010050251,1.0809115293424625,-0.07146461653888682,0.00046011038796511306,0.00032149697446991296,0.00018461186809141204
0.1658291457286432,1.0791498473693788,-0.07114049083461974,0.00046065993076897213,0.0003215934236451857,0.00018425060845736485
0.1708542713567839,1.077388165396295,-0.07081636513035267,0.00046120947357283125,0.00032049208460085363,0.00018388934882331763
0.17587939698492464,1.075626483423211,-0.07038626792291254,0.0004617590163766903,0.00031823490613253015,0.00018352808918927044
0.18090452261306533,1.0738648014501273,-0.0697997547437626,0.0004623085591805494,0.00031597772766420667,0.00018316682955522325
0.18592964824120603,1.0721031194770434,-0.06921324156461264,0.0004600403716405245,0.0003137205491958832,0.00018280556992117606
0.19095477386934673,1.0703414375039597,-0.06862672838546269,0.00044157683808378927,0.0003114633707275597,0.00018248565999564868
0.19597989949748745,1.0685797555308758,-0.06804021520631275,0.00042311330452705394,0.0003092061922592362,0.00018218031145118322
0.20100502512562815,1.066818073557792,-0.06745370202716279,0.00040464977097031865,0.00030694901379091274,0.00018187496290671777
0.20603015075376885,1.0650563915847082,-0.06686718884801285,0.0003861862374135834,0.00030469183532258926,0.0001815696143622523
0.21105527638190955,1.0632947096116243,-0.06628067566886289,0.0003677227038568482,0.0003024346568542658,0.00018126426581778685
0.21608040201005024,1.0615330276385406,-0.06569416248971295,0.00034925917030011297,0.0003001774783859423,0.00018095891727332142
0.22110552763819097,1.0597713456654567,-0.065107649310563,0.0003307956367433776,0.0002979202999176188,0.00017817593962427252
0.22613065326633167,1.058193567612631,-0.06452113613141304,0.0003123321031866424,0.00029503367761993514,0.000168900521096723
0.23115577889447236,1.0566448758780964,-0.0639346229522631,0.0002938685696299071,0.0002910309981342708,0.00015962510256917344
0.23618090452261306,1.0550961841435615,-0.06330371206336227,0.0002754050360731719,0.00028702831864860635,0.00015034968404162391
